State,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20
Pennsylvania,12798883.0,12797515.0,12796164.0,12794829.0,12793507.0,12792198.0,12790900.0,12789612.0,12788331.0,12787056.0,12785786.0,12784519.0,12783254.0
Rhode Island,1058158.0,1058011.0,1057880.0,1057764.0,1057660.0,1057568.0,1057486.0,1057413.0,1057347.0,1057286.0,1057230.0,1057177.0,1057125.0
South Carolina,5157702.0,5162964.0,5168165.0,5173311.0,5178406.0,5183457.0,5188470.0,5193449.0,5198401.0,5203330.0,5208242.0,5213144.0,5218040.0
South Dakota,887127.0,887711.0,888265.0,888790.0,889290.0,889768.0,890226.0,890667.0,891094.0,891509.0,891917.0,892318.0,892717.0
Tennessee,6830325.0,6834749.0,6839247.0,6843813.0,6848440.0,6853121.0,6857849.0,6862618.0,6867421.0,6872250.0,6877100.0,6881964.0,6886834.0
Texas,28986794.0,29017881.0,29048989.0,29080114.0,29111256.0,29142412.0,29173581.0,29204761.0,29235949.0,29267145.0,29298347.0,29329552.0,29360759.0
Utah,3203383.0,3207308.0,3211220.0,3215120.0,3219009.0,3222889.0,3226760.0,3230624.0,3234482.0,3238336.0,3242185.0,3246033.0,3249879.0
Vermont,624046.0,623986.0,623927.0,623868.0,623809.0,623751.0,623692.0,623635.0,623577.0,623519.0,623462.0,623404.0,623347.0
Virginia,8556642.0,8560033.0,8563277.0,8566387.0,8569376.0,8572259.0,8575048.0,8577756.0,8580398.0,8582986.0,8585534.0,8588055.0,8590563.0
Washington,7614024.0,7620909.0,7627728.0,7634487.0,7641192.0,7647849.0,7654464.0,7661044.0,7667593.0,7674119.0,7680627.0,7687122.0,7693612.0
West Virginia,1795263.0,1794399.0,1793532.0,1792663.0,1791793.0,1790921.0,1790047.0,1789172.0,1788296.0,1787420.0,1786543.0,1785665.0,1784787.0
Wisconsin,5824581.0,5825535.0,5826415.0,5827229.0,5827983.0,5828684.0,5829338.0,5829952.0,5830532.0,5831086.0,5831620.0,5832141.0,5832655.0
Wyoming,580116.0,580262.0,580418.0,580583.0,580757.0,580937.0,581124.0,581316.0,581513.0,581714.0,581917.0,582122.0,582328.0
