State,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20
Pennsylvania,12798883.0,12797581.0,12796278.0,12794976.0,12793673.0,12792371.0,12791068.0,12789766.0,12788464.0,12787161.0,12785859.0,12784556.0,12783254.0
Rhode Island,1058158.0,1058072.0,1057986.0,1057900.0,1057814.0,1057728.0,1057642.0,1057555.0,1057469.0,1057383.0,1057297.0,1057211.0,1057125.0
South Carolina,5157702.0,5162730.0,5167758.0,5172786.0,5177815.0,5182843.0,5187871.0,5192899.0,5197927.0,5202956.0,5207984.0,5213012.0,5218040.0
South Dakota,887127.0,887593.0,888059.0,888524.0,888990.0,889456.0,889922.0,890388.0,890854.0,891320.0,891785.0,892251.0,892717.0
Tennessee,6830325.0,6835034.0,6839743.0,6844452.0,6849161.0,6853870.0,6858580.0,6863289.0,6867998.0,6872707.0,6877416.0,6882125.0,6886834.0
Texas,28986794.0,29017958.0,29049122.0,29080285.0,29111449.0,29142613.0,29173776.0,29204940.0,29236104.0,29267268.0,29298431.0,29329595.0,29360759.0
Utah,3203383.0,3207258.0,3211132.0,3215007.0,3218882.0,3222756.0,3226631.0,3230506.0,3234380.0,3238255.0,3242130.0,3246004.0,3249879.0
Vermont,624046.0,623988.0,623930.0,623871.0,623813.0,623755.0,623696.0,623638.0,623580.0,623522.0,623464.0,623405.0,623347.0
Virginia,8556642.0,8559469.0,8562296.0,8565122.0,8567949.0,8570776.0,8573602.0,8576429.0,8579256.0,8582083.0,8584909.0,8587736.0,8590563.0
Washington,7614024.0,7620656.0,7627289.0,7633921.0,7640553.0,7647186.0,7653818.0,7660450.0,7667083.0,7673715.0,7680347.0,7686980.0,7693612.0
West Virginia,1795263.0,1794390.0,1793517.0,1792644.0,1791771.0,1790898.0,1790025.0,1789152.0,1788279.0,1787406.0,1786533.0,1785660.0,1784787.0
Wisconsin,5824581.0,5825254.0,5825927.0,5826600.0,5827272.0,5827945.0,5828618.0,5829291.0,5829964.0,5830636.0,5831309.0,5831982.0,5832655.0
Wyoming,580116.0,580300.0,580485.0,580669.0,580853.0,581038.0,581222.0,581406.0,581591.0,581775.0,581959.0,582144.0,582328.0
