State,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,Mandate Source
Massachusetts,0,0,0,0,0,0,0,0,0,0,1,1,1,"https://www.mass.gov/news/mask-up-ma#:~:text=Governor%20Baker%20issued%20an%20Order,of%20distance%20from%20others."
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.michigan.gov/documents/whitmer/EO_2020-147_696551_7.pdf
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Montana,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Nevada,0,0,0,0,0,0,0,0,0,0,0,1,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
New Mexico,0,0,0,0,0,0,0,0,0,0,1,1,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
New York,0,0,0,0,0,0,0,0,0,1,1,1,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
North Carolina,0,0,0,0,0,0,0,0,0,0,0,1,1,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
