State,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,Mandate Source
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0.935483871,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0.709677419,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0.612903226,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Maine,0,0,0,0,0,0,0,0,0,0.066666667,1,1,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Maryland,0,0,0,0,0,0,0,0,0,0.533333333,1,1,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Massachusetts,0,0,0,0,0,0,0,0,0,0,0.838709677,1,1,"https://www.mass.gov/news/mask-up-ma#:~:text=Governor%20Baker%20issued%20an%20Order,of%20distance%20from%20others."
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0.677419355,https://www.michigan.gov/documents/whitmer/EO_2020-147_696551_7.pdf
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0.225806452,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0.548387097,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Nevada,0,0,0,0,0,0,0,0,0,0,0,0.2,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0.774193548,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
New Mexico,0,0,0,0,0,0,0,0,0,0,0.516129032,1,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
New York,0,0,0,0,0,0,0,0,0,0.466666667,1,1,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0.166666667,1,https://files.nc.gov/governor/documents/files/EO147-Phase-2-Extension.pdf
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0.290322581,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Rhode Island,0,0,0,0,0,0,0,0,0,0,0.774193548,1,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
