State,07/19,08/19,09/19,10/19,11/19,12/19,01/20,02/20,03/20,04/20,05/20,06/20,07/20
Pennsylvania,12798883.0,12793961.0,12788366.0,12782234.0,12775781.0,12769324.0,12763300.0,12758292.0,12755062.0,12754577.0,12758055.0,12767000.0,12783254.0
Rhode Island,1058158.0,1056570.0,1054715.0,1052646.0,1050450.0,1048255.0,1046237.0,1044637.0,1043765.0,1044019.0,1045896.0,1050014.0,1057125.0
South Carolina,5157702.0,5163354.0,5169022.0,5174690.0,5180338.0,5185936.0,5191440.0,5196797.0,5201933.0,5206756.0,5211150.0,5214971.0,5218040.0
South Dakota,887127.0,887978.0,888819.0,889631.0,890396.0,891093.0,891702.0,892204.0,892583.0,892825.0,892924.0,892884.0,892717.0
Tennessee,6830325.0,6834083.0,6837810.0,6841538.0,6845311.0,6849180.0,6853212.0,6857488.0,6862107.0,6867191.0,6872885.0,6879363.0,6886834.0
Texas,28986794.0,29021489.0,29056819.0,29092623.0,29128665.0,29164627.0,29200087.0,29234501.0,29267187.0,29297301.0,29323807.0,29345458.0,29360759.0
Utah,3203383.0,3206327.0,3209024.0,3211498.0,3213805.0,3216035.0,3218326.0,3220871.0,3223931.0,3227855.0,3233088.0,3240195.0,3249879.0
Vermont,624046.0,624901.0,625956.0,627186.0,628536.0,629925.0,631233.0,632291.0,632876.0,632695.0,631377.0,628454.0,623347.0
Virginia,8556642.0,8562983.0,8569709.0,8576703.0,8583785.0,8590706.0,8597127.0,8602607.0,8606579.0,8608335.0,8607001.0,8601507.0,8590563.0
Washington,7614024.0,7620682.0,7627134.0,7633367.0,7639386.0,7645224.0,7650941.0,7656647.0,7662506.0,7668752.0,7675709.0,7683809.0,7693612.0
West Virginia,1795263.0,1794221.0,1793137.0,1792015.0,1790863.0,1789700.0,1788548.0,1787443.0,1786430.0,1785569.0,1784940.0,1784639.0,1784787.0
Wisconsin,5824581.0,5826128.0,5827696.0,5829261.0,5830786.0,5832226.0,5833519.0,5834592.0,5835351.0,5835684.0,5835456.0,5834509.0,5832655.0
Wyoming,580116.0,580205.0,580318.0,580464.0,580649.0,580877.0,581145.0,581447.0,581764.0,582066.0,582310.0,582427.0,582328.0
