,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Mandate-4-2020,-0.505,0.052,-0.602,-0.402,0.001,0.001,5024.0,3276.0,1.0
Mandate-5-2020,-0.755,0.034,-0.822,-0.691,0.001,0.0,4655.0,3445.0,1.0
Mandate-6-2020,-0.33,0.017,-0.365,-0.297,0.0,0.0,5089.0,2915.0,1.0
Mandate-7-2020,-0.148,0.014,-0.176,-0.124,0.0,0.0,5934.0,2663.0,1.0
