,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Mandate-4-2020,-0.505,0.053,-0.604,-0.4,0.001,0.001,4919.0,2848.0,1.0
Mandate-5-2020,-0.755,0.033,-0.82,-0.691,0.0,0.0,4745.0,2873.0,1.0
Mandate-6-2020,-0.331,0.017,-0.363,-0.296,0.0,0.0,4972.0,3117.0,1.0
Mandate-7-2020,-0.148,0.013,-0.173,-0.122,0.0,0.0,5615.0,2801.0,1.0
