,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Mandate-4-2020,-0.503,0.054,-0.608,-0.399,0.001,0.001,4992.0,3088.0,1.0
Mandate-5-2020,-0.756,0.034,-0.819,-0.684,0.001,0.0,4477.0,2948.0,1.0
Mandate-6-2020,-0.33,0.017,-0.363,-0.296,0.0,0.0,4648.0,2787.0,1.0
Mandate-7-2020,-0.149,0.014,-0.175,-0.122,0.0,0.0,4931.0,2666.0,1.0
