,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Mandate-4-2020,-0.503,0.054,-0.605,-0.398,0.001,0.001,5028.0,3230.0,1.0
Mandate-5-2020,-0.755,0.034,-0.823,-0.69,0.001,0.0,4476.0,3109.0,1.0
Mandate-6-2020,-0.33,0.017,-0.363,-0.298,0.0,0.0,4344.0,3193.0,1.0
Mandate-7-2020,-0.148,0.013,-0.173,-0.123,0.0,0.0,4548.0,3363.0,1.0
