,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Mandate-4-2020,-0.503,0.053,-0.602,-0.391,0.001,0.001,5090.0,3310.0,1.0
Mandate-5-2020,-0.756,0.033,-0.82,-0.693,0.0,0.0,4612.0,3373.0,1.0
Mandate-6-2020,-0.331,0.017,-0.365,-0.297,0.0,0.0,4751.0,2684.0,1.0
Mandate-7-2020,-0.148,0.013,-0.175,-0.124,0.0,0.0,4998.0,2590.0,1.0
